"","task","fold","min.val.loss","min.train.loss","min.test.loss","min.val.auc","min.val.step","end.auc","max.auc","max.auc.step","baseline.auc"
"147","P04637.PF00870: (38/5)",1,0.60464483499527,0.507863819599152,2.02596569061279,0.594736842105263,8,0.526315789473684,0.710526315789474,17,0.5
"148","P04637.PF00870: (38/5)",2,0.533713936805725,0.842243790626526,1.10481011867523,0.810526315789474,9,0.763157894736842,0.878947368421053,5,0.5
"149","P04637.PF00870: (38/5)",3,0.753299176692963,0.339980602264404,2.63619709014893,0.573684210526316,11,0.578947368421053,0.594736842105263,2,0.5
"150","P04637.PF00870: (38/5)",4,0.455559939146042,0.489728659391403,0.940941035747528,0.852631578947368,13,0.826315789473684,0.91578947368421,15,0.5
"151","Q09428.PF00005: (10/4)",0,1.48175168037415,1.06712770462036,0.91794741153717,0.8,3,0.65,0.9,6,0.5
"152","Q09428.PF00005: (10/4)",1,1.41381275653839,1.17382848262787,0.788658976554871,0.975,7,0.9,0.975,7,0.5
"153","Q09428.PF00005: (10/4)",2,1.13748002052307,0.417598992586136,0.756833434104919,0.775,14,0.55,0.8,3,0.5
"154","Q09428.PF00005: (10/4)",3,1.63373017311096,0.72259396314621,0.811879754066467,0.625,9,0.55,0.725,3,0.5
"155","Q09428.PF00005: (10/4)",4,0.882149815559387,0.717845857143402,0.576838970184326,0.9,7,0.8,0.975,8,0.5
"156","O00555.PF00520: (10/6)",0,0.633715987205505,0.429894715547562,0.826591372489929,0.733333333333333,9,0.75,0.816666666666667,15,0.5
"157","O00555.PF00520: (10/6)",1,0.627628803253174,0.329224824905396,0.762958526611328,0.7,12,0.783333333333333,0.783333333333333,17,0.5
"158","O00555.PF00520: (10/6)",2,0.61217188835144,0.623956322669983,0.919636189937592,0.666666666666667,4,0.583333333333333,0.833333333333333,1,0.5
"159","O00555.PF00520: (10/6)",3,0.626365542411804,0.385897576808929,0.761847019195557,0.733333333333333,10,0.816666666666667,0.916666666666667,21,0.5
"160","O00555.PF00520: (10/6)",4,0.689318537712097,0.338894933462143,0.705688774585724,0.716666666666667,12,0.716666666666667,0.816666666666667,18,0.5
"161","Q14654.PF01007: (6/7)",0,0.372335463762283,0.149544939398766,0.658529222011566,0.761904761904762,15,0.80952380952381,0.880952380952381,10,0.5
